字段名,重复值,开始时间,结束时间,持续长度
ACTIVE_POWER_STATION,0.0,2023-10-13 22:24:00,2023-10-13 22:28:00,5
ACTIVE_POWER_STATION,0.0,2023-10-13 22:33:00,2023-10-13 22:41:00,9
ACTIVE_POWER_STATION,0.0,2023-10-13 23:13:00,2023-10-13 23:17:00,5
ACTIVE_POWER_STATION,0.0,2023-10-13 23:25:00,2023-10-13 23:30:00,6
ACTIVE_POWER_STATION,0.0,2023-10-13 23:43:00,2023-10-13 23:49:00,7
ACTIVE_POWER_STATION,0.0,2023-10-13 23:51:00,2023-10-13 23:54:00,4
ACTIVE_POWER_STATION,0.0,2023-10-13 23:59:00,2023-10-14 00:03:00,5
ACTIVE_POWER_STATION,0.0,2023-10-14 19:51:00,2023-10-14 19:58:00,8
ACTIVE_POWER_STATION,0.0,2023-10-15 05:04:00,2023-10-15 05:13:00,10
ACTIVE_POWER_STATION,0.0,2023-10-15 06:36:00,2023-10-15 06:40:00,5
ACTIVE_POWER_STATION,0.0,2023-10-15 06:44:00,2023-10-15 06:47:00,4
ACTIVE_POWER_STATION,0.0,2023-10-15 07:32:00,2023-10-15 07:41:00,10
ACTIVE_POWER_STATION,0.0,2023-10-15 08:15:00,2023-10-15 08:23:00,9
ACTIVE_POWER_STATION,0.0,2023-10-15 09:17:00,2023-10-15 09:25:00,9
ACTIVE_POWER_STATION,0.0,2023-10-15 09:35:00,2023-10-15 09:45:00,11
ACTIVE_POWER_STATION,0.0,2023-10-15 11:40:00,2023-10-15 11:43:00,4
ACTIVE_POWER_STATION,0.0,2023-10-15 12:11:00,2023-10-15 12:34:00,24
ACTIVE_POWER_STATION,0.0,2023-10-16 01:51:00,2023-10-16 01:55:00,5
ACTIVE_POWER_STATION,0.0,2023-10-16 23:55:00,2023-10-17 00:00:00,6
ACTIVE_POWER_STATION,0.0,2023-10-17 00:03:00,2023-10-17 00:08:00,6
ACTIVE_POWER_STATION,0.0,2023-10-17 13:37:00,2023-10-17 13:51:00,15
ACTIVE_POWER_STATION,0.0,2023-10-17 13:53:00,2023-10-17 13:59:00,7
ACTIVE_POWER_STATION,0.0,2023-10-19 05:06:00,2023-10-19 05:11:00,6
ACTIVE_POWER_STATION,0.0,2023-10-19 13:21:00,2023-10-19 13:35:00,15
ACTIVE_POWER_STATION,0.0,2023-10-19 14:00:00,2023-10-19 14:03:00,4
ACTIVE_POWER_STATION,4.5927186,2023-10-21 14:35:00,2023-10-21 14:38:00,4
ACTIVE_POWER_STATION,0.0,2023-10-21 15:11:00,2023-10-21 15:14:00,4
ACTIVE_POWER_STATION,0.0,2023-10-22 05:43:00,2023-10-22 05:46:00,4
ACTIVE_POWER_STATION,0.0,2023-10-22 06:16:00,2023-10-22 06:19:00,4
ACTIVE_POWER_STATION,0.0,2023-10-22 06:23:00,2023-10-22 06:31:00,9
ACTIVE_POWER_STATION,0.0,2023-10-22 06:51:00,2023-10-22 06:54:00,4
ACTIVE_POWER_STATION,0.0,2023-10-22 14:40:00,2023-10-22 14:49:00,10
ACTIVE_POWER_STATION,0.0,2023-10-22 14:51:00,2023-10-22 14:55:00,5
ACTIVE_POWER_STATION,0.0,2023-10-22 16:12:00,2023-10-22 16:15:00,4
ACTIVE_POWER_STATION,0.0,2023-10-22 16:25:00,2023-10-22 16:36:00,12
ACTIVE_POWER_STATION,0.0,2023-10-23 06:52:00,2023-10-23 06:58:00,7
ACTIVE_POWER_STATION,0.0,2023-10-23 07:21:00,2023-10-23 07:30:00,10
ACTIVE_POWER_STATION,0.0,2023-10-23 14:01:00,2023-10-23 14:05:00,5
ACTIVE_POWER_STATION,0.0,2023-10-23 15:12:00,2023-10-23 15:16:00,5
ACTIVE_POWER_STATION,0.0,2023-10-23 15:18:00,2023-10-23 15:22:00,5
ACTIVE_POWER_STATION,0.0,2023-10-24 09:34:00,2023-10-24 10:04:00,31
ACTIVE_POWER_STATION,0.0,2023-10-24 21:58:00,2023-10-24 22:04:00,7
ACTIVE_POWER_STATION,0.0,2023-10-24 22:07:00,2023-10-24 22:13:00,7
ACTIVE_POWER_STATION,0.0,2023-10-24 22:18:00,2023-10-24 22:23:00,6
ACTIVE_POWER_STATION,0.0,2023-10-24 22:42:00,2023-10-24 22:45:00,4
ACTIVE_POWER_STATION,0.0,2023-10-25 18:58:00,2023-10-25 19:01:00,4
ACTIVE_POWER_STATION,0.0,2023-10-25 22:35:00,2023-10-25 22:42:00,8
ACTIVE_POWER_STATION,0.0,2023-10-26 03:29:00,2023-10-26 03:40:00,12
ACTIVE_POWER_STATION,0.0,2023-10-26 08:50:00,2023-10-26 08:56:00,7
ACTIVE_POWER_STATION,0.0,2023-10-26 15:05:00,2023-10-26 15:17:00,13
ACTIVE_POWER_STATION,0.0,2023-10-27 12:49:00,2023-10-27 12:55:00,7
ACTIVE_POWER_STATION,0.0,2023-10-28 10:57:00,2023-10-28 11:11:00,15
ACTIVE_POWER_STATION,0.0,2023-10-28 22:38:00,2023-10-28 22:49:00,12
ACTIVE_POWER_STATION,0.0,2023-10-29 02:21:00,2023-10-29 02:25:00,5
ACTIVE_POWER_STATION,0.0,2023-10-29 05:00:00,2023-10-29 05:09:00,10
ACTIVE_POWER_STATION,0.0,2023-10-29 05:37:00,2023-10-29 05:47:00,11
ACTIVE_POWER_STATION,0.0,2023-10-29 05:49:00,2023-10-29 05:53:00,5
ACTIVE_POWER_STATION,0.0,2023-10-29 09:21:00,2023-10-29 09:31:00,11
ACTIVE_POWER_STATION,0.0,2023-10-29 13:18:00,2023-10-29 13:21:00,4
ACTIVE_POWER_STATION,0.0,2023-10-29 14:26:00,2023-10-29 14:41:00,16
ACTIVE_POWER_STATION,0.0,2023-10-29 14:48:00,2023-10-29 15:14:00,27
ACTIVE_POWER_STATION,0.0,2023-10-30 08:10:00,2023-10-30 08:13:00,4
ACTIVE_POWER_STATION,0.0,2023-10-30 09:53:00,2023-10-30 10:03:00,11
ACTIVE_POWER_STATION,0.0,2023-10-30 10:07:00,2023-10-30 10:23:00,17
ACTIVE_POWER_STATION,0.0,2023-11-03 08:54:00,2023-11-03 09:05:00,12
ACTIVE_POWER_STATION,0.0,2023-11-03 22:39:00,2023-11-03 22:49:00,11
ACTIVE_POWER_STATION,0.0,2023-11-04 00:12:00,2023-11-04 00:16:00,5
ACTIVE_POWER_STATION,0.0,2023-11-07 18:49:00,2023-11-07 18:53:00,5
ACTIVE_POWER_STATION,0.0,2023-11-09 04:03:00,2023-11-09 04:10:00,8
ACTIVE_POWER_STATION,0.0,2023-11-09 09:04:00,2023-11-09 09:14:00,11
ACTIVE_POWER_STATION,0.0,2023-11-09 11:36:00,2023-11-09 11:40:00,5
ACTIVE_POWER_STATION,0.0,2023-11-13 18:21:00,2023-11-13 18:24:00,4
ACTIVE_POWER_STATION,0.0,2023-11-13 18:34:00,2023-11-13 18:37:00,4
ACTIVE_POWER_STATION,0.0,2023-11-13 21:35:00,2023-11-13 21:43:00,9
ACTIVE_POWER_STATION,0.0,2023-11-14 01:05:00,2023-11-14 01:09:00,5
ACTIVE_POWER_STATION,0.0,2023-11-14 06:58:00,2023-11-14 07:01:00,4
ACTIVE_POWER_STATION,0.0,2023-11-14 09:10:00,2023-11-14 09:13:00,4
ACTIVE_POWER_STATION,0.0,2023-11-14 10:04:00,2023-11-14 10:08:00,5
ACTIVE_POWER_STATION,0.0,2023-11-15 02:35:00,2023-11-15 02:40:00,6
ACTIVE_POWER_STATION,0.0,2023-11-15 02:42:00,2023-11-15 02:55:00,14
ACTIVE_POWER_STATION,0.0,2023-11-15 02:57:00,2023-11-15 03:04:00,8
ACTIVE_POWER_STATION,0.0,2023-11-15 03:35:00,2023-11-15 03:40:00,6
ACTIVE_POWER_STATION,0.0,2023-11-15 04:04:00,2023-11-15 04:07:00,4
ACTIVE_POWER_STATION,0.0,2023-11-15 04:47:00,2023-11-15 05:01:00,15
ACTIVE_POWER_STATION,0.0,2023-11-15 05:24:00,2023-11-15 05:29:00,6
ACTIVE_POWER_STATION,0.0,2023-11-15 20:03:00,2023-11-15 20:07:00,5
ACTIVE_POWER_STATION,0.0,2023-11-15 21:06:00,2023-11-15 21:09:00,4
ACTIVE_POWER_STATION,0.0,2023-11-16 01:27:00,2023-11-16 01:31:00,5
ACTIVE_POWER_STATION,0.0,2023-11-19 16:50:00,2023-11-19 16:56:00,7
ACTIVE_POWER_STATION,0.0,2023-11-19 17:27:00,2023-11-19 17:52:00,26
ACTIVE_POWER_STATION,0.0,2023-11-19 17:59:00,2023-11-19 18:06:00,8
ACTIVE_POWER_STATION,0.0,2023-11-19 18:13:00,2023-11-19 18:25:00,13
ACTIVE_POWER_STATION,0.0,2023-11-19 18:30:00,2023-11-19 18:38:00,9
ACTIVE_POWER_STATION,0.0,2023-11-19 18:40:00,2023-11-19 18:43:00,4
ACTIVE_POWER_STATION,0.0,2023-11-19 19:56:00,2023-11-19 20:05:00,10
ACTIVE_POWER_STATION,0.0,2023-11-19 20:11:00,2023-11-19 20:24:00,14
ACTIVE_POWER_STATION,0.0,2023-11-23 04:17:00,2023-11-23 04:22:00,6
ACTIVE_POWER_STATION,0.0,2023-11-23 08:11:00,2023-11-23 08:14:00,4
ACTIVE_POWER_STATION,0.0,2023-11-27 16:58:00,2023-11-27 17:01:00,4
ACTIVE_POWER_STATION,0.0,2023-11-27 17:04:00,2023-11-27 17:15:00,12
ACTIVE_POWER_STATION,0.0,2023-11-27 19:11:00,2023-11-27 19:14:00,4
ACTIVE_POWER_STATION,0.0,2023-11-27 19:41:00,2023-11-27 19:45:00,5
ACTIVE_POWER_STATION,0.0,2023-11-27 19:53:00,2023-11-27 20:41:00,49
ACTIVE_POWER_STATION,0.0,2023-11-28 20:07:00,2023-11-28 20:13:00,7
ACTIVE_POWER_STATION,0.0,2023-11-28 20:23:00,2023-11-28 20:27:00,5
ACTIVE_POWER_STATION,0.0,2023-12-02 17:09:00,2023-12-02 17:12:00,4
ACTIVE_POWER_STATION,0.0,2023-12-02 21:15:00,2023-12-02 21:18:00,4
ACTIVE_POWER_STATION,0.0,2023-12-02 22:40:00,2023-12-02 22:43:00,4
ACTIVE_POWER_STATION,0.0,2023-12-03 04:40:00,2023-12-03 04:44:00,5
ACTIVE_POWER_STATION,0.0,2023-12-04 01:04:00,2023-12-04 01:12:00,9
ACTIVE_POWER_STATION,0.0,2023-12-04 09:24:00,2023-12-04 09:28:00,5
ACTIVE_POWER_STATION,0.0,2023-12-04 09:43:00,2023-12-04 09:49:00,7
ACTIVE_POWER_STATION,0.0,2023-12-04 10:02:00,2023-12-04 10:08:00,7
ACTIVE_POWER_STATION,0.0,2023-12-04 10:22:00,2023-12-04 10:29:00,8
ACTIVE_POWER_STATION,0.0,2023-12-04 10:33:00,2023-12-04 10:37:00,5
ACTIVE_POWER_STATION,0.0,2023-12-04 10:42:00,2023-12-04 10:45:00,4
ACTIVE_POWER_STATION,0.0,2023-12-04 13:00:00,2023-12-04 13:03:00,4
ACTIVE_POWER_STATION,0.0,2023-12-04 16:09:00,2023-12-04 16:12:00,4
ACTIVE_POWER_STATION,0.0,2023-12-05 05:30:00,2023-12-05 05:40:00,11
ACTIVE_POWER_STATION,0.0,2023-12-05 14:18:00,2023-12-05 14:22:00,5
ACTIVE_POWER_STATION,0.0,2023-12-05 18:14:00,2023-12-05 18:17:00,4
ACTIVE_POWER_STATION,0.0,2023-12-09 06:39:00,2023-12-09 06:44:00,6
ACTIVE_POWER_STATION,0.0,2023-12-09 10:17:00,2023-12-09 10:24:00,8
ACTIVE_POWER_STATION,0.0,2023-12-09 10:29:00,2023-12-09 10:32:00,4
ACTIVE_POWER_STATION,0.0,2023-12-14 14:31:00,2023-12-14 14:34:00,4
ACTIVE_POWER_STATION,0.0,2023-12-14 18:13:00,2023-12-14 18:19:00,7
ACTIVE_POWER_STATION,0.0,2023-12-14 19:58:00,2023-12-14 20:04:00,7
ACTIVE_POWER_STATION,0.0,2023-12-14 20:08:00,2023-12-14 20:12:00,5
ACTIVE_POWER_STATION,0.0,2023-12-18 01:55:00,2023-12-18 02:03:00,9
ACTIVE_POWER_STATION,53.155403,2023-12-18 11:59:00,2023-12-18 12:02:00,4
ACTIVE_POWER_STATION,281.92532,2023-12-20 14:38:00,2023-12-20 14:41:00,4
ACTIVE_POWER_STATION,282.6878,2023-12-20 15:04:00,2023-12-20 15:07:00,4
ACTIVE_POWER_STATION,282.57855,2023-12-20 15:09:00,2023-12-20 15:12:00,4
ACTIVE_POWER_STATION,0.0,2023-12-25 14:02:00,2023-12-25 14:05:00,4
ACTIVE_POWER_STATION,0.0,2023-12-26 06:15:00,2023-12-26 06:18:00,4
ACTIVE_POWER_STATION,0.0,2023-12-26 06:20:00,2023-12-26 06:23:00,4
ACTIVE_POWER_STATION,0.0,2023-12-26 14:07:00,2023-12-26 14:10:00,4
ACTIVE_POWER_STATION,0.0,2023-12-27 03:16:00,2023-12-27 03:19:00,4
ACTIVE_POWER_STATION,0.0,2023-12-28 00:30:00,2023-12-28 00:35:00,6
ACTIVE_POWER_STATION,0.0,2023-12-28 00:37:00,2023-12-28 00:42:00,6
ACTIVE_POWER_STATION,0.0,2023-12-28 14:04:00,2023-12-28 14:09:00,6
ACTIVE_POWER_STATION,0.0,2023-12-28 14:17:00,2023-12-28 14:24:00,8
ACTIVE_POWER_STATION,0.0,2023-12-28 14:30:00,2023-12-28 14:38:00,9
ACTIVE_POWER_STATION,7.5332074,2023-12-28 17:38:00,2023-12-28 17:41:00,4
ACTIVE_POWER_STATION,0.0,2023-12-28 21:15:00,2023-12-28 21:19:00,5
ACTIVE_POWER_STATION,0.0,2023-12-28 21:26:00,2023-12-28 21:32:00,7
ACTIVE_POWER_STATION,0.0,2023-12-28 21:34:00,2023-12-28 21:41:00,8
ACTIVE_POWER_STATION,0.0,2023-12-28 22:05:00,2023-12-28 22:12:00,8
ACTIVE_POWER_STATION,-4.0260262,2023-12-29 14:29:00,2023-12-29 14:32:00,4
ACTIVE_POWER_STATION,9.378817,2023-12-29 15:53:00,2023-12-29 15:56:00,4
ACTIVE_POWER_STATION,0.0,2024-01-01 08:16:00,2024-01-01 08:23:00,8
ACTIVE_POWER_STATION,0.0,2024-01-01 15:37:00,2024-01-01 15:40:00,4
ACTIVE_POWER_STATION,0.0,2024-01-05 06:14:00,2024-01-05 06:20:00,7
ACTIVE_POWER_STATION,0.0,2024-01-05 06:28:00,2024-01-05 06:34:00,7
ACTIVE_POWER_STATION,0.0,2024-01-05 07:16:00,2024-01-05 07:25:00,10
ACTIVE_POWER_STATION,0.0,2024-01-05 14:09:00,2024-01-05 14:22:00,14
ACTIVE_POWER_STATION,0.0,2024-01-05 15:14:00,2024-01-05 15:40:00,27
ACTIVE_POWER_STATION,0.0,2024-01-05 17:07:00,2024-01-05 17:18:00,12
ACTIVE_POWER_STATION,0.0,2024-01-05 18:51:00,2024-01-05 19:09:00,19
