region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
high,244.0,246.0,2052,17,2035,0.02309833115753257,0.7619175998592898,5.648095167756915
high,246.0,248.0,1650,9,1641,-0.010798377666920267,0.8954230556236791,6.637771111338333
high,248.0,250.0,1417,2,1415,-0.018515372154698895,1.064288567744315,7.889571152688607
high,250.0,252.0,1388,0,1388,0.04118617932917168,1.0600098007649121,7.857852653070293
high,252.0,254.0,1331,1,1330,-0.014520867857692465,1.1314425905763486,8.38738392394247
high,254.0,256.0,1240,2,1238,0.0007598003980460177,1.1680483217888291,8.65874220942059
high,256.0,258.0,1179,0,1179,-0.004847289204750638,1.177070053659671,8.72562030777914
high,258.0,260.0,1176,0,1176,-0.013787820109118165,1.1755609317016713,8.71443318670449
high,260.0,262.0,1396,3,1393,-0.021088507422977187,1.1051353352443671,8.192368240166493
high,262.0,264.0,1747,2,1745,0.015905529200979984,1.001802804109552,7.426364186864109
high,264.0,266.0,2723,20,2703,0.01898470771319616,0.7084531731077774,5.251763372247954
high,266.0,268.0,2372,4,2368,-0.00209154860167704,0.8426162330262734,6.246314135423765
high,268.0,270.0,2493,8,2485,-0.01374845125220503,0.871984440241226,6.464020655508208
high,270.0,272.0,3324,7,3317,0.014518056135334412,0.7885415448018467,5.845458471616089
high,272.0,274.0,4065,28,4037,-0.03480819352709652,0.6663021978575951,4.939298192718352
high,274.0,276.0,2840,7,2833,-0.003868200304443903,0.7952661150549325,5.895307710902214
high,276.0,278.0,5237,32,5205,0.01467910560272756,0.5979015228565654,4.432243988935719
high,278.0,280.0,4873,6,4867,-0.0351398627462185,0.6806947687825406,5.0459903209849735
high,280.0,282.0,7352,16,7336,0.04772596454489708,0.5953784859699613,4.413540716495323
high,282.0,284.0,5206,4,5202,-0.03602147639986697,0.6346835031037417,4.704908808508036
high,284.0,286.0,6018,8,6010,0.01261813726802874,0.5573759630607098,4.1318280141690416
high,286.0,288.0,2955,5,2950,0.035622108102842276,0.5709442741154831,4.232409904018076
high,288.0,292.0,706,5,701,-0.006673019681707082,0.40581746391806117,3.008324860024587
