P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,region,bin_source,sigma_local,sigma_sample_n,var_local,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b,interp_order
6.5,6.6000000000000005,6.5471387,2.4227923000000002,257,1,0.1,20,low,low_lookup,0.5469444855100407,270,0.29914827022984314,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,60
6.6000000000000005,6.7,6.6484223,2.4160699500000007,276,1,0.1,20,low,low_lookup,0.5282935749331183,291,0.27909410131561435,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,61
6.7,6.800000000000001,6.747301,2.3847856000000007,255,1,0.1,20,low,low_lookup,0.525891538392637,271,0.27656191015297443,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,62
6.800000000000001,6.9,6.849227,2.3763127000000006,273,1,0.1,20,low,low_lookup,0.5158271258143738,292,0.26607762372591787,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,63
6.9,7.0,6.9431677,2.347129500000001,255,1,0.1,20,low,low_lookup,0.5130039477421717,276,0.26317305039905287,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,64
7.0,7.1000000000000005,7.0464125,2.2638719999999974,263,1,0.1,20,low,low_lookup,0.5655372046503442,325,0.3198323298437253,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,65
7.1000000000000005,7.2,7.1499014,2.216796399999998,239,1,0.1,20,low,low_lookup,0.5491367169042904,293,0.3015511338524228,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,66
7.2,7.300000000000001,7.251718,2.2476265999999985,203,1,0.1,20,low,low_lookup,0.4749848570082564,253,0.22561061438715377,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,67
7.300000000000001,7.4,7.3532419,2.1129554999999995,222,1,0.1,20,low,low_lookup,0.5144465254345707,286,0.2646552275317024,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,68
7.4,7.5,7.451475350000001,2.0982657500000026,200,1,0.1,20,low,low_lookup,0.5405806340588085,301,0.29222742191942347,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,69
7.5,7.6000000000000005,7.5494356499999995,2.0533504999999987,172,1,0.1,20,low,low_lookup,0.5780556112101554,283,0.3341482896515463,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,70
0.0,8.0,7.641914,2.7937100000000017,1185,4,2.0,20,high,high_lookup,0.508027385350355,21403,0.25809182426591804,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,71
7.6000000000000005,7.7,7.6457872,2.021101999999998,120,1,0.1,20,low,low_lookup,0.6134222477689806,244,0.3762868540579486,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,72
7.7,7.800000000000001,7.7431226,1.9053795999999972,111,1,0.1,20,low,low_lookup,0.5130219693142415,268,0.26319154099906256,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,73
7.800000000000001,7.9,7.8502018499999995,1.8860230999999992,118,1,0.1,20,low,low_lookup,0.49138013720395657,278,0.24145443923857918,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,74
7.9,8.0,7.9435915,1.7903983500000011,100,1,0.1,20,low,low_lookup,0.5058055052229152,292,0.25583920911380853,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,75
8.0,8.1,8.0399535,1.7375434999999984,98,1,0.1,20,low,low_lookup,0.5167936614985635,299,0.2670756885650919,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,76
8.1,8.200000000000001,8.1479775,1.6325949999999994,72,1,0.1,20,low,low_lookup,0.5294924448906376,267,0.2803622491962649,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,77
8.200000000000001,8.3,8.247284,1.569056999999999,39,1,0.1,20,low,low_lookup,0.516092925936618,286,0.26635190820181953,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,78
8.3,8.4,8.333319,1.4228899999999989,39,1,0.1,20,low,low_lookup,0.5421586747249909,275,0.2939360285795585,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,79
8.4,8.6,8.486906,1.336134999999997,35,2,0.1,20,low,low_lookup,0.5083900246767807,525,0.2584604171908577,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,80
8.6,9.4,8.692669,1.1102929999999969,37,8,0.1,20,low,low_lookup,0.6680022059520493,2026,0.44622694715680405,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,81
8.0,10.0,9.0461725,2.1793655000000003,4944,1,2.0,20,high,high_lookup,0.6566440707103418,5264,0.43118143559904837,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,82
10.0,12.0,10.977753,2.032520999999999,5025,1,2.0,20,high,high_lookup,0.5048658291794685,5025,0.2548895054730723,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,83
12.0,14.0,13.0028345,1.923986000000001,4684,1,2.0,20,high,high_lookup,0.505245644076071,4684,0.2552731608578438,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,84
14.0,16.0,14.95981,1.839788000000004,4163,1,2.0,20,high,high_lookup,0.4866582165365609,4163,0.23683621972254618,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,85
16.0,18.0,17.012974,1.7934220000000067,4121,1,2.0,20,high,high_lookup,0.4967714828472693,4121,0.24678190617027476,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,86
18.0,20.0,19.005482,1.7339499999999894,4123,1,2.0,20,high,high_lookup,0.4891328488577422,4123,0.2392509438316909,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,87
20.0,22.0,20.977764999999998,1.718169000000005,3812,1,2.0,20,high,high_lookup,0.47318410321496435,3812,0.22390319553535004,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,88
22.0,24.0,23.019894,1.6971360000000093,3950,1,2.0,20,high,high_lookup,0.4655823938553908,3950,0.21676696546811625,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,89
24.0,26.0,25.004784,1.660502999999995,4071,1,2.0,20,high,high_lookup,0.46019610466003547,4071,0.21178045474427032,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,90
26.0,28.0,26.96436,1.656365500000005,3914,1,2.0,20,high,high_lookup,0.45813848400259427,3914,0.20989087052419533,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,91
28.0,30.0,29.165014,1.6145440000000004,4602,1,2.0,20,high,high_lookup,0.4212078397920125,4602,0.17741604430225366,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,92
30.0,32.0,30.978136,1.6335930000000012,3545,1,2.0,20,high,high_lookup,0.45331712828341825,3545,0.20549641879512506,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,93
32.0,34.0,32.998413,1.6571799999999968,3325,1,2.0,20,high,high_lookup,0.48058033655735444,3325,0.23095745988558006,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,94
34.0,36.0,34.964443,1.661405000000002,3117,1,2.0,20,high,high_lookup,0.48131170578239396,3117,0.23166095812315776,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,95
36.0,38.0,37.028632,1.6559249999999999,3096,1,2.0,20,high,high_lookup,0.47770569015417813,3096,0.22820272640567965,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,96
38.0,40.0,38.984911,1.6617890000000024,3174,1,2.0,20,high,high_lookup,0.4816511922994741,3174,0.231987871043505,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,97
40.0,42.0,41.002445,1.6655399999999858,3137,1,2.0,20,high,high_lookup,0.4916288075408877,3137,0.24169888440407522,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,98
42.0,44.0,42.986397,1.6707335000000043,3072,1,2.0,20,high,high_lookup,0.48153038097178913,3072,0.2318715077988364,step1-插值损耗模型-仅正功率,JMZSFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0,99
