region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
high,26.0,28.0,4134,9,4125,-0.005175536381155865,0.28187700688746276,2.089554252056761
high,28.0,30.0,3818,5,3813,0.005572864981498005,0.28268623722535335,2.0955530765515444
high,30.0,32.0,4652,13,4639,-0.00862105243697453,0.23645603626310696,1.7528485968184118
high,32.0,34.0,3488,6,3482,0.00048330611893654396,0.2790362799641807,2.0684959433744714
high,34.0,36.0,3324,6,3318,0.0019973305898323135,0.2942103329762178,2.1809811983527023
high,36.0,38.0,3089,4,3085,0.0016059535649142198,0.29168951640509877,2.162294385110997
high,38.0,40.0,3185,5,3180,-0.006061565877287789,0.2864745655757557,2.1236359546130767
high,40.0,42.0,3111,8,3103,0.0023864392762922293,0.29398619405309945,2.1793196565156263
high,42.0,44.0,3156,6,3150,-0.00675424989831408,0.29575391284185515,2.192423755896672
high,44.0,46.0,3032,4,3028,0.0015733999917383334,0.29139411872559107,2.1601046021128063
high,46.0,48.0,3291,6,3285,-0.003987980260737656,0.2820511521821958,2.0908451911266175
high,48.0,50.0,3223,4,3219,0.0008441907534950666,0.29654822724521224,2.198312008568758
high,50.0,52.0,3164,10,3154,-0.0038048761084858995,0.287280985558771,2.1296139459471695
high,52.0,54.0,2981,8,2973,-0.0029147423557551733,0.2913754875959569,2.1599664895488284
high,54.0,56.0,2722,2,2720,0.0006749098926925878,0.2962958615712834,2.1964412218279237
high,56.0,58.0,2854,3,2851,-0.0002742560400100791,0.29619689976420116,2.195707617952023
high,58.0,60.0,2688,11,2677,0.008999436292197793,0.29620102827859107,2.1957382226291955
high,60.0,62.0,3081,13,3068,-0.0014220776331386187,0.28054114365759464,2.0796514979337486
high,62.0,64.0,5005,46,4959,-0.020028149195424394,0.21171053558790032,1.569410200313105
high,64.0,66.0,2557,10,2547,0.010242827535559273,0.3091389813714376,2.2916472689064666
high,66.0,68.0,2623,7,2616,-0.0027076984365648205,0.2958671819001739,2.193263419425989
high,68.0,70.0,2424,14,2410,-0.0005298894256713371,0.3168000256011897,2.348438589781619
high,70.0,72.0,2569,10,2559,-0.00631232638598056,0.3084868847890465,2.2868132769412015
high,72.0,74.0,2552,6,2546,-0.0018764429601001442,0.32339191417913193,2.397304259809905
high,74.0,76.0,2440,15,2425,-0.005271851760203061,0.33439630802353104,2.4788798313784355
high,76.0,78.0,2464,15,2449,0.0009101752170639354,0.32696002571931193,2.4237546706572592
high,78.0,80.0,2512,21,2491,-0.008747670204328095,0.3123279425716461,2.3152870382836124
high,80.0,82.0,2378,17,2361,-0.0023589832061035043,0.3368283206090088,2.4969083406745822
high,82.0,84.0,2389,24,2365,-0.003346281382335725,0.3095171836098727,2.294450882099986
high,84.0,86.0,2272,25,2247,-0.006238343102054289,0.3459383804692606,2.564441214418629
high,86.0,88.0,2165,21,2144,-0.0015784145948676276,0.35145724914116316,2.6053525878834423
high,88.0,90.0,2084,17,2067,-0.005814512387187776,0.3626602906285106,2.6884007344291487
high,90.0,92.0,2127,13,2114,-0.003223695341223465,0.3629934690425154,2.690870586012166
high,92.0,94.0,2227,22,2205,-0.00943798337274826,0.36212947931382633,2.684465830153395
high,94.0,96.0,2103,16,2087,-0.0046592368535329776,0.36299056601037494,2.690849065834909
high,96.0,98.0,2099,18,2081,1.7839536915698062e-05,0.35931396202085164,2.6635944004605734
high,98.0,100.0,1976,14,1962,0.005905501323344886,0.38568670110018277,2.8590955152556545
high,100.0,102.0,1802,10,1792,-0.012699233017199552,0.38393874356526925,2.846137906049341
high,102.0,104.0,2001,10,1991,-0.003840382787851482,0.398487484518387,2.953987722734803
high,104.0,106.0,1828,12,1816,0.011935904354770877,0.36834468696197775,2.7305391644491412
high,106.0,108.0,1844,10,1834,-0.014952255207921539,0.40773686183255764,3.0225533567647496
high,108.0,110.0,1683,13,1670,-0.0001725040549298562,0.41701382098903705,3.091323454991732
high,110.0,112.0,1703,6,1697,-0.002839093668280057,0.4372720286939633,3.2414975487083497
