P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,station_code,station_name,scheme_code,scheme_name,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
174.0,176.0,174.99982,2.089570000000009,1105,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
176.0,178.0,176.98709,2.1559799999999996,1077,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
178.0,180.0,178.94869,2.2259150000000005,1038,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
180.0,182.0,180.97656,2.2409199999999885,1017,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
182.0,184.0,182.94596,2.2745550000000065,970,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
184.0,186.0,185.02866,2.355639999999994,965,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
186.0,188.0,186.97452,2.444449999999989,947,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
188.0,190.0,189.02938999999998,2.4656999999999982,892,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
190.0,192.0,191.031095,2.4698549999999955,970,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
192.0,194.0,193.04636,2.51339999999999,975,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
194.0,196.0,195.01790499999998,2.570814999999982,984,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
196.0,198.0,196.99045,2.5524300000000153,961,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
198.0,200.0,198.97168499999998,2.6722250000000116,936,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
200.0,202.0,201.05500999999998,2.7126150000000138,996,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
202.0,204.0,203.00671,2.719109999999972,905,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
204.0,206.0,204.96424000000002,2.8105249999999984,884,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
206.0,208.0,207.0401,2.772250000000014,903,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
208.0,210.0,209.031125,2.856375,890,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
210.0,212.0,211.07883,2.8301999999999907,911,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
212.0,214.0,212.980245,2.9187949999999887,918,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
214.0,216.0,214.954955,2.986670000000018,866,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
216.0,218.0,217.0146,3.1024699999999967,860,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
218.0,220.0,219.04642,3.141014999999996,812,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
220.0,222.0,220.93243,3.1221400000000017,821,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
222.0,224.0,222.99516,3.236220000000003,835,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
224.0,226.0,224.99864,3.227109999999996,778,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
226.0,228.0,226.99547,3.232430000000008,792,1,2.0,20,step1-插值损耗模型-仅正功率,LGXRFD,STATION_SEG,站端功率分段模型,CT_eff,CT_eff,9.4,10.0
