开始时间,结束时间,hard_anomaly_source,字段名,重复值,持续长度
2024-02-18 19:24:00,2024-02-18 19:28:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.48712,5.0
2024-02-18 19:49:00,2024-02-18 19:52:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.2578,4.0
2024-02-18 20:11:00,2024-02-18 20:16:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.21164,6.0
2024-02-18 20:17:00,2024-02-18 20:22:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.02914,6.0
2024-02-18 20:37:00,2024-02-18 20:41:00,station_active_power_repeat,ACTIVE_POWER_STATION,345.95728,5.0
2024-02-18 22:00:00,2024-02-18 22:03:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.07965,4.0
2024-02-18 23:00:00,2024-02-18 23:05:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.1289,6.0
2024-02-18 23:06:00,2024-02-18 23:10:00,station_active_power_repeat,ACTIVE_POWER_STATION,345.9478,5.0
2024-02-18 23:18:00,2024-02-18 23:21:00,station_active_power_repeat,ACTIVE_POWER_STATION,346.08276,4.0
2024-02-19 16:54:00,2024-02-19 16:58:00,station_active_power_repeat,ACTIVE_POWER_STATION,340.37067,5.0
2024-02-19 21:13:00,2024-02-19 21:16:00,station_active_power_repeat,ACTIVE_POWER_STATION,344.31073,4.0
2024-02-20 00:54:00,2024-02-20 00:58:00,station_active_power_repeat,ACTIVE_POWER_STATION,344.36282,5.0
