region,P_left,P_right,n_before,n_removed,n_after,median_resid,mad,threshold
low,5.800000000000001,5.9,183,0,183,0.025768110659740717,0.27648986768588024,2.04961938915543
low,5.9,6.0,160,0,160,0.00017658327120750883,0.3538932889085591,2.6234109506791485
low,6.0,6.1000000000000005,164,0,164,-0.004355479591756639,0.3871705249838129,2.8700951017050045
low,6.1000000000000005,6.2,174,0,174,0.010608641091974125,0.31700684393617906,2.349971734098895
low,6.2,6.300000000000001,164,0,164,-0.012425307051213474,0.331521695424712,2.45757032818339
low,6.300000000000001,6.4,179,0,179,0.0015448741548169664,0.3549212942494102,2.6310315542708778
low,6.4,6.5,157,0,157,-0.007863133684668178,0.373067644699538,2.765550450157675
low,6.5,6.6000000000000005,145,0,145,0.033594988694502614,0.31900501093643685,2.3647841460718064
low,6.6000000000000005,6.7,166,0,166,0.011883706051256215,0.33295544386045894,2.4681987053375822
low,6.7,6.800000000000001,172,0,172,0.049030266293607516,0.350597795576882,2.5989814586114255
low,6.800000000000001,6.9,182,0,182,0.044088474281178014,0.34054902442207613,2.5244899180408504
low,6.9,7.0,156,0,156,0.06505368604057904,0.3497671617827236,2.59282397029533
low,7.0,7.1000000000000005,180,0,180,0.10739775593107193,0.30336680173923436,2.248858101292944
low,7.1000000000000005,7.2,174,0,174,0.08129411185235846,0.36170846598411455,2.681344858340241
low,7.2,7.300000000000001,164,0,164,0.1389416472542131,0.3152778185137568,2.337154468642479
low,7.300000000000001,7.4,152,1,151,0.2594389790657279,0.3569122465115382,2.6457904833900328
low,7.4,7.5,158,0,158,0.18544015993077,0.38675237041666133,2.8669953218987105
low,7.5,7.6000000000000005,186,1,185,0.09773962207321607,0.29768418012573505,2.2067328272720736
low,7.6000000000000005,7.7,169,0,169,0.034158710355933986,0.40128451471264204,2.974722107564815
low,7.7,7.800000000000001,176,0,176,0.421590766798024,0.3368051257480953,2.49673639717063
low,7.800000000000001,7.9,173,0,173,0.446399785487815,0.32301142773733904,2.394483713816894
low,7.9,8.0,154,0,154,0.5228110300364416,0.39427910453946835,2.922791001951079
low,8.0,8.1,179,2,177,0.5789857227323063,0.29858683469881986,2.2134242056223514
high,8.0,10.0,3433,2,3431,0.31664254519499346,0.4684725619757084,3.4727871019259267
low,8.1,8.200000000000001,180,0,180,0.7351173629482601,0.32052953229873193,2.3760854229304997
low,8.200000000000001,8.3,186,0,186,0.6540153988701132,0.359513167096597,2.6650711076870732
low,8.3,8.4,151,0,151,0.739870492796241,0.38953562147820975,2.8876275620179688
low,8.4,8.5,191,1,190,0.9239714967025343,0.3287007539280349,2.436658688868522
low,8.5,9.4,1570,1,1569,0.31287577777708675,0.46938457364633446,3.479547844440277
high,10.0,12.0,3230,1,3229,-0.014080741828427557,0.39652274061439985,2.939423076174546
high,12.0,14.0,3576,5,3571,0.007200085733522266,0.3886661115258607,2.8811818847412054
high,14.0,16.0,3448,3,3445,-0.0015463268996962487,0.4021398734095458,2.9810628815849634
high,16.0,18.0,3236,4,3232,0.004082212868523949,0.4218544123007937,3.127206758385783
high,18.0,20.0,3359,7,3352,-0.011218593112672481,0.38481037441286503,2.8525993055225687
high,20.0,22.0,3210,8,3202,-0.006246327567625998,0.3948727768625343,2.9271918948819664
high,22.0,24.0,3308,9,3299,-0.001671449152053306,0.3579070762819925,2.6531651564784102
high,24.0,26.0,3433,10,3423,-0.012453389274832194,0.33220994952895366,2.4626723558581336
high,26.0,28.0,3181,24,3157,-0.005962250711143646,0.3047305247815182,2.258967380205394
high,28.0,30.0,3199,42,3157,-0.007261674124213302,0.27843152467431587,2.0640128924107035
high,30.0,32.0,2937,13,2924,-8.478759393637514e-05,0.2798946910975203,2.0748593451059176
high,32.0,34.0,2919,18,2901,-0.004212057021847571,0.2696505290311485,1.9989193717079037
high,34.0,36.0,3026,17,3009,-0.0038080684150991195,0.2523089176005883,1.870366006173161
high,36.0,38.0,2996,8,2988,-0.0002506967575991448,0.2553280490225913,1.8927468274044692
high,38.0,40.0,2967,19,2948,0.008459020569380638,0.2501701462463475,1.8545112941241737
high,40.0,42.0,3988,56,3932,-0.03515827883136746,0.1946773868821119,1.4431434689570954
high,42.0,44.0,2874,24,2850,0.007164150390720658,0.23107682753934705,1.7129725225491796
high,44.0,46.0,2778,18,2760,-0.00877767791634243,0.23272709404183467,1.7252059481321202
high,46.0,48.0,2561,15,2546,-0.008359467882525728,0.22463766036020671,1.6652389762502122
high,48.0,50.0,2572,34,2538,-0.008465623973600511,0.23407225117453356,1.7351775979568171
high,50.0,52.0,2574,29,2545,-0.014465755140241954,0.2303086160686429,1.7072777709168496
high,52.0,54.0,2480,23,2457,-0.008763812366800683,0.22175692568598748,1.643884090110225
high,54.0,56.0,2377,10,2367,-0.009743007580398477,0.21599403945447748,1.6011638144760414
high,56.0,58.0,2321,21,2300,-0.012466144173269855,0.22549008688543526,1.6715580140817314
high,58.0,60.0,2339,20,2319,-0.006906353391029629,0.22841539439154623,1.6932433186245321
